columnName,group1,group2,group3,group4,comments
R_AGE_IMP,SURVEY,PERSON,,,
R_HISP,SURVEY,PERSON,ORIGIN,,
R_RACE,SURVEY,PERSON,ORIGIN,,
R_RELAT,SURVEY,PERSON,,,
R_SEX,SURVEY,PERSON,,,
R_SEX_IMP,SURVEY,PERSON,,,
RAIL,SURVEY,HOUSEHOLD,,,
RESP_CNT,SURVEY,HOUSEHOLD,,,
RIDESHARE,SURVEY,PERSON,HABITS,,
SAMEPLC,SURVEY,PERSON,,,
SAMPSTRAT,SURVEY,HOUSEHOLD,,,
SCHTRN1,SURVEY,PERSON,HABITS,,
SCHTRN2,SURVEY,PERSON,HABITS,,
SCHTYP,SURVEY,PERSON,,,
SCRESP,SURVEY,HOUSEHOLD,,,
SMPLSRCE,SURVEY,HOUSEHOLD,,,
SPHONE,SURVEY,HOUSEHOLD,HABITS,,
STRTTIME,SURVEY,JOURNEY,DEPARTURE TIME,HOUR,
TAB,SURVEY,HOUSEHOLD,HABITS,,
TAXI,SURVEY,HOUSEHOLD,HABITS,,
TDAYDATE,DROP,JOURNEY,DEPARTURE TIME,DATE,
TDCASEID,DROP,,,,
TDTRPNUM,SURVEY,JOURNEY,,,
TDWKND,SURVEY,JOURNEY,,,
TIMETOWK,SURVEY,PERSON,HABITS,,
TRACC_BUS,DROP,,,,
TRACC_CRL,DROP,,,,
TRACC_OTH,DROP,,,,
TRACC_POV,DROP,,,,
TRACC_SUB,DROP,,,,
TRACC_WLK,DROP,,,,
TRACCTM,SURVEY,JOURNEY,PT FEATURES,,
TRAIN,SURVEY,HOUSEHOLD,HABITS,,
TRAVDAY,SURVEY,HOUSEHOLD,,,
TREGR_BUS,DROP,,,,
TREGR_CRL,DROP,,,,
TREGR_OTH,DROP,,,,
TREGR_POV,DROP,,,,
TREGR_SUB,DROP,,,,
TREGR_WLK,DROP,,,,
TREGRTM,DROP,,,,
TRIPPURP,SURVEY,JOURNEY,,,
TRPACCMP,SURVEY,JOURNEY,,,
TRPHHACC,SURVEY,JOURNEY,,,
TRPHHVEH,DROP,,,,
TRPMILAD,SURVEY,JOURNEY,DISTANCE,,
TRPMILES,SURVEY,JOURNEY,DISTANCE,,
TRPTRANS,LABEL,,,,rows with negative values should be dropped
TRVLCMIN,DROP,,,,
TRWAITTM,SURVEY,JOURNEY,PT FEATURES,,
URBAN,SURVEY,HOUSEHOLD,HOME AREA,,
URBANSIZE,SURVEY,HOUSEHOLD,HOME AREA,,
URBRUR,SURVEY,HOUSEHOLD,HOME AREA,,
USEPUBTR,SURVEY,PERSON,,,
VEHICLE_COUNT,SURVEY,VEHICLE,,,
VEHID,DROP,,,,
VEHTYPE,DROP,,,,
VMT_MILE,SURVEY,JOURNEY,DISTANCE,,
VPACT,SURVEY,PERSON,HABITS,,
